Time,l_per,l_abs,b_per,b_abs
1776710094,8.6,2023,5.2,965
1776710097,15.7,3739,9.5,1761
1776710099,17.1,4053,10.2,1898
1776710102,19.3,4586,11.5,2126
1776710102,21.0,5003,12.4,2289
1776710103,21.9,5209,13.1,2417
1776710104,21.9,5230,13.2,2444
1776710104,21.9,5230,13.2,2444
1776710105,21.9,5230,13.2,2444
1776710105,21.9,5230,13.2,2444
1776710106,21.9,5230,13.2,2444
1776710106,21.9,5230,13.2,2444
1776710107,21.9,5230,13.2,2444
1776710107,21.9,5230,13.2,2444
1776710108,22.1,5277,13.4,2481
1776710110,22.1,5277,13.4,2481
1776710111,22.1,5278,13.4,2484
1776710111,22.1,5278,13.4,2484
1776710119,22.1,5278,13.5,2491
1776710119,22.1,5278,13.5,2491
1776710120,22.1,5278,13.5,2491
1776710121,22.2,5289,13.5,2495
1776710122,22.2,5289,13.5,2496
1776710122,22.2,5289,13.5,2496
1776710124,22.7,5417,13.6,2527
1776710125,22.7,5417,13.6,2527
1776710125,22.7,5417,13.6,2527
1776710127,22.7,5417,13.6,2527
1776710127,22.7,5417,13.7,2530
1776710127,22.7,5417,13.7,2530
1776710128,22.7,5417,13.7,2530
1776710128,22.7,5417,13.7,2530
1776710128,22.7,5417,13.7,2530
1776710129,22.7,5417,13.7,2530
1776710129,22.7,5417,13.7,2530
1776710132,22.7,5420,13.7,2531
1776710132,22.7,5420,13.7,2531
1776710132,22.7,5420,13.7,2531
1776710133,22.7,5420,13.7,2532
1776710133,22.7,5420,13.7,2532
1776710134,22.7,5420,13.7,2532
1776710134,22.7,5420,13.7,2532
1776710135,22.7,5420,13.7,2532
1776710135,22.7,5420,13.7,2532
1776710136,22.7,5420,13.7,2532
1776710136,22.7,5420,13.7,2532
1776710137,22.7,5420,13.7,2532
1776710137,22.8,5444,13.8,2550
1776710139,22.8,5444,13.8,2550
1776710139,22.8,5444,13.8,2550
1776710140,22.8,5444,13.8,2550
1776710140,22.8,5444,13.8,2550
1776710140,22.8,5444,13.8,2550
1776710141,22.8,5444,13.8,2550
1776710141,22.8,5444,13.8,2550
1776710142,22.8,5444,13.8,2550
1776710142,22.8,5444,13.8,2550
1776710143,22.8,5444,13.8,2550
1776710143,22.8,5449,13.8,2554
1776710144,22.8,5449,13.8,2554
1776710144,22.8,5449,13.8,2554
1776710145,22.8,5449,13.8,2554
1776710145,22.8,5449,13.8,2554
1776710145,22.8,5449,13.8,2554
1776710146,22.8,5449,13.8,2554
1776710146,22.8,5449,13.8,2556
1776710147,22.8,5450,13.8,2557
1776710147,22.8,5450,13.8,2557
1776710147,22.8,5450,13.8,2557
1776710148,22.8,5450,13.8,2557
1776710148,22.8,5450,13.8,2557
1776710149,22.8,5450,13.8,2557
1776710149,22.8,5450,13.8,2557
1776710149,22.8,5450,13.8,2557
1776710150,22.8,5450,13.8,2557
1776710150,22.8,5450,13.8,2557
1776710151,22.8,5450,13.8,2557
1776710151,22.8,5450,13.8,2557
1776710152,22.8,5450,13.8,2557
1776710152,22.8,5450,13.8,2557
1776710152,22.8,5450,13.8,2557
1776710153,22.8,5450,13.8,2557
1776710153,22.8,5450,13.8,2557
1776710154,22.8,5450,13.8,2557
1776710154,22.9,5452,13.8,2560
1776710154,23.1,5505,13.9,2578
1776710155,23.1,5505,13.9,2578
1776710155,23.1,5505,13.9,2578
1776710155,23.1,5505,13.9,2578
1776710156,23.1,5505,13.9,2578
1776710156,23.1,5505,13.9,2578
1776710157,23.1,5505,13.9,2578
1776710094,23.1,5505,13.9,2578
1776710097,23.1,5505,13.9,2578
1776710099,23.1,5505,13.9,2578
1776710102,23.1,5505,13.9,2578
1776710102,23.1,5505,13.9,2578
1776710103,23.1,5505,13.9,2578
1776710104,23.1,5505,13.9,2578
1776710104,23.1,5505,13.9,2578
1776710105,23.1,5505,13.9,2578
1776710105,23.1,5505,13.9,2578
1776710106,23.1,5505,13.9,2578
1776710106,23.1,5505,13.9,2578
1776710107,23.1,5505,13.9,2578
1776710107,23.1,5505,13.9,2578
1776710108,23.1,5505,13.9,2578
1776710110,23.1,5505,13.9,2578
1776710111,23.1,5505,13.9,2578
1776710111,23.1,5505,13.9,2578
1776710119,23.1,5505,13.9,2578
1776710119,23.1,5505,13.9,2578
1776710120,23.1,5505,13.9,2578
1776710121,23.1,5505,13.9,2578
1776710122,23.1,5505,13.9,2578
1776710122,23.1,5505,13.9,2578
1776710124,23.1,5505,13.9,2578
1776710125,23.1,5505,13.9,2578
1776710125,23.1,5505,13.9,2578
1776710127,23.1,5505,13.9,2578
1776710127,23.1,5505,13.9,2578
1776710127,23.1,5505,13.9,2578
1776710128,23.1,5505,13.9,2578
1776710128,23.1,5505,13.9,2578
1776710128,23.1,5505,13.9,2578
1776710129,23.1,5505,13.9,2578
1776710129,23.1,5505,13.9,2578
1776710132,23.1,5505,13.9,2578
1776710132,23.1,5505,13.9,2578
1776710132,23.1,5505,13.9,2578
1776710133,23.1,5505,13.9,2578
1776710133,23.1,5505,13.9,2578
1776710134,23.1,5505,13.9,2578
1776710134,23.1,5505,13.9,2578
1776710135,23.1,5505,13.9,2578
1776710135,23.1,5505,13.9,2578
1776710136,23.1,5505,13.9,2578
1776710136,23.1,5505,13.9,2578
1776710137,23.1,5505,13.9,2578
1776710137,23.1,5505,13.9,2578
1776710139,23.1,5505,13.9,2578
1776710139,23.1,5505,13.9,2578
1776710140,23.1,5505,13.9,2578
1776710140,23.1,5505,13.9,2578
1776710140,23.1,5505,13.9,2578
1776710141,23.1,5505,13.9,2578
1776710141,23.1,5505,13.9,2578
1776710142,23.1,5505,13.9,2578
1776710142,23.1,5505,13.9,2578
1776710143,23.1,5505,13.9,2578
1776710143,23.1,5505,13.9,2578
1776710144,23.1,5505,13.9,2578
1776710144,23.1,5505,13.9,2578
1776710145,23.1,5505,13.9,2578
1776710145,23.1,5505,13.9,2578
1776710145,23.1,5505,13.9,2578
1776710146,23.1,5505,13.9,2578
1776710146,23.1,5505,13.9,2578
1776710147,23.1,5505,13.9,2578
1776710147,23.1,5505,13.9,2578
1776710147,23.1,5505,13.9,2578
1776710148,23.1,5505,13.9,2578
1776710148,23.1,5505,13.9,2578
1776710149,23.1,5505,13.9,2578
1776710149,23.1,5505,13.9,2578
1776710149,23.1,5505,13.9,2578
1776710150,23.1,5505,13.9,2578
1776710150,23.1,5505,13.9,2578
1776710151,23.1,5505,13.9,2578
1776710151,23.1,5505,13.9,2578
1776710152,23.1,5505,13.9,2578
1776710152,23.1,5505,13.9,2578
1776710152,23.1,5505,13.9,2578
1776710153,23.1,5505,13.9,2578
1776710153,23.1,5505,13.9,2578
1776710154,23.1,5505,13.9,2578
1776710154,23.1,5505,13.9,2578
1776710154,23.1,5505,13.9,2578
1776710155,23.1,5505,13.9,2578
1776710155,23.1,5505,13.9,2578
1776710155,23.1,5505,13.9,2578
1776710156,23.1,5505,13.9,2578
1776710156,23.1,5505,13.9,2578
1776710157,23.1,5505,13.9,2578
1776710161,23.1,5505,13.9,2578
1776710161,23.1,5505,13.9,2578
1776710161,23.1,5505,13.9,2579
1776710161,23.1,5505,13.9,2579
1776710162,23.1,5505,13.9,2580
1776710163,23.1,5505,13.9,2580
