group,valid_runs,total_dirs,runtime_hr_mean,runtime_hr_median,runtime_hr_min,runtime_hr_max,execs_done_mean,execs_done_median,execs_done_min,execs_done_max,execs_per_sec_mean,execs_per_sec_median,execs_per_sec_min,execs_per_sec_max,paths_total_mean,paths_total_median,paths_total_min,paths_total_max,paths_found_mean,paths_found_median,paths_found_min,paths_found_max,bitmap_cvg_mean,bitmap_cvg_median,bitmap_cvg_min,bitmap_cvg_max,stability_mean,stability_median,stability_min,stability_max,unique_crashes_mean,unique_crashes_median,unique_crashes_min,unique_crashes_max,unique_hangs_mean,unique_hangs_median,unique_hangs_min,unique_hangs_max,max_depth_mean,max_depth_median,max_depth_min,max_depth_max,variable_paths_mean,variable_paths_median,variable_paths_min,variable_paths_max,queue_files_mean,queue_files_median,queue_files_min,queue_files_max,replayable_queue_files_mean,replayable_queue_files_median,replayable_queue_files_min,replayable_queue_files_max,protocol_grammars_files_mean,protocol_grammars_files_median,protocol_grammars_files_min,protocol_grammars_files_max,enrichment_interactions_files_mean,enrichment_interactions_files_median,enrichment_interactions_files_min,enrichment_interactions_files_max,stall_interactions_files_mean,stall_interactions_files_median,stall_interactions_files_min,stall_interactions_files_max
tr1,3,3,11.502407407407407,11.501388888888888,11.501388888888888,11.504444444444445,146618.66666666666,142534,141298,156024,0.55,0.62,0.38,0.65,504,506,472,534,500,502,468,530,2.2733333333333334,2.26,2.09,2.47,23.966666666666665,22.63,18.57,30.7,0,0,0,0,0,0,0,0,10.666666666666666,11,8,13,327,320,311,350,443.6666666666667,449,411,471,0,0,0,0,1.3333333333333333,2,0,2,0,0,0,0,0,0,0,0
tr2,3,3,9.214722222222221,8.676666666666666,7.452222222222222,11.515277777777778,101762,98311,53623,153352,0.33333333333333337,0.33,0.33,0.34,554.6666666666666,550,438,676,486.6666666666667,482,434,544,2.34,2.38,2.15,2.49,27.133333333333333,27.34,24.08,29.98,0,0,0,0,0,0,0,0,8.666666666666666,8,7,11,360.3333333333333,337,308,436,478,466,387,581,0,0,0,0,23.666666666666668,34,0,37,0,0,0,0,0,0,0,0
tr3,2,3,9.432222222222222,9.432222222222222,7.370277777777778,11.494166666666667,109747.5,109747.5,70875,148620,2.6350000000000002,2.6350000000000002,0.33,4.94,612,612.0,600,624,545,545.0,494,596,2.41,2.41,2.2,2.62,24.73,24.73,21.46,28.0,0,0.0,0,0,0,0.0,0,0,8,8.0,8,8,374.5,374.5,341,408,538.5,538.5,527,550,0,0.0,0,0,18.5,18.5,2,35,270,270.0,0,540,0,0.0,0,0
tr4,3,3,11.378796296296297,11.456944444444444,11.219444444444445,11.46,128132,124167,121841,138388,0.33666666666666667,0.32,0.32,0.37,515.3333333333334,527,479,540,508.3333333333333,514,475,536,2.1799999999999997,2.19,2.07,2.28,27.703333333333333,25.38,21.13,36.6,0,0,0,0,0,0,0,0,8,8,8,8,350.6666666666667,363,301,388,448,454,415,475,0,0,0,0,14.666666666666666,4,3,37,15,0,0,45,0,0,0,0
