group,runs_total,runs_with_plot_final,runs_with_cov,line_cov_pct_n,line_cov_pct_mean,line_cov_pct_median,line_cov_pct_min,line_cov_pct_max,branch_cov_pct_n,branch_cov_pct_mean,branch_cov_pct_median,branch_cov_pct_min,branch_cov_pct_max,n_nodes_n,n_nodes_mean,n_nodes_median,n_nodes_min,n_nodes_max,n_edges_n,n_edges_mean,n_edges_median,n_edges_min,n_edges_max,chat_times_n,chat_times_mean,chat_times_median,chat_times_min,chat_times_max,paths_total_n,paths_total_mean,paths_total_median,paths_total_min,paths_total_max,map_size_pct_n,map_size_pct_mean,map_size_pct_median,map_size_pct_min,map_size_pct_max,unique_crashes_n,unique_crashes_mean,unique_crashes_median,unique_crashes_min,unique_crashes_max,unique_hangs_n,unique_hangs_mean,unique_hangs_median,unique_hangs_min,unique_hangs_max,llm_records_total,llm_valid_total,llm_valid_weighted_pct,llm_soft_accept_total,llm_soft_reject_total
tr1,3,3,0,0,,,,,0,,,,,3,24.666666666666668,24,23,27,3,178.33333333333334,165,148,222,3,29.333333333333332,31,23,34,3,504,506,472,534,3,2.2733333333333334,2.26,2.09,2.47,3,0,0,0,0,3,0,0,0,0,0,0,,0,0
tr2,3,3,0,0,,,,,0,,,,,3,25.333333333333332,27,22,27,3,201.66666666666666,217,138,250,3,18.333333333333332,13,10,32,3,555,550,438,677,3,2.34,2.38,2.15,2.49,3,0,0,0,0,3,0,0,0,0,0,0,,0,0
tr3,3,2,1,1,8.4,8.4,8.4,8.4,1,4.1,4.1,4.1,4.1,2,26,26.0,25,27,2,197.5,197.5,184,211,2,15,15.0,7,23,2,612.5,612.5,600,625,2,2.41,2.41,2.2,2.62,2,0,0.0,0,0,2,0,0.0,0,0,239,63,26.359832635983267,0,0
tr4,3,3,0,0,,,,,0,,,,,3,24,25,22,25,3,169,176,145,186,3,21,23,16,24,3,515.3333333333334,527,479,540,3,2.1799999999999997,2.19,2.07,2.28,3,0,0,0,0,3,0,0,0,0,87,25,28.735632183908045,0,3
